Product Name,Prices,Description,Reviews,Product Link
"POCO X6 5G (Skyline Blue, 256 GB)","₹19,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,https://www.flipkart.com/poco-x6-5g-skyline-blue-256-gb/p/itm5acbfcf568a39?pid=MOBHY76SHVXY6TJU&lid=LSTMOBHY76SHVXY6TJUUWRPNP&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHY76SHVXY6TJU.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI 13c 5G (Startrail Green, 256 GB)","₹13,490",8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.2,https://www.flipkart.com/redmi-13c-5g-startrail-green-256-gb/p/itm996fbc603ec3c?pid=MOBGW6S7ZG3ZFUQP&lid=LSTMOBGW6S7ZG3ZFUQPGJWRZT&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGW6S7ZG3ZFUQP.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 5G (Snowstorm White, 256 GB)","₹18,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://www.flipkart.com/poco-x6-5g-snowstorm-white-256-gb/p/itm705116870e629?pid=MOBGWMGBGPMDMYQZ&lid=LSTMOBGWMGBGPMDMYQZ4WOBZ7&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGWMGBGPMDMYQZ.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 5G (Mirror Black, 256 GB)","₹18,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://www.flipkart.com/poco-x6-5g-mirror-black-256-gb/p/itmb410289a9f053?pid=MOBGWMGBZHPVFZ5R&lid=LSTMOBGWMGBZHPVFZ5RDNPXJH&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGWMGBZHPVFZ5R.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"IQOO z9x (Tornado Green, 128 GB)","₹15,029",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryQualcomm SM6450 Snapdragon 6 Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.3,https://www.flipkart.com/iqoo-z9x-tornado-green-128-gb/p/itm37ed9034fd805?pid=MOBHF76GH8XPQB3X&lid=LSTMOBHF76GH8XPQB3XVSBHHG&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHF76GH8XPQB3X.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI 13c 5G (Startrail Silver, 256 GB)","₹13,436",8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.2,https://www.flipkart.com/redmi-13c-5g-startrail-silver-256-gb/p/itm996fbc603ec3c?pid=MOBGW6S7BRXYEVVN&lid=LSTMOBGW6S7BRXYEVVNXCUXRO&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGW6S7BRXYEVVN.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Arctic White, 256 GB)","₹19,606",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.1,https://www.flipkart.com/redmi-note-13-5g-arctic-white-256-gb/p/itm82475e073eb2e?pid=MOBGXYWWRS3CPZVD&lid=LSTMOBGXYWWRS3CPZVDOJEBRO&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXYWWRS3CPZVD.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"IQOO Z9X (Tornado Green, 128 GB)","₹16,434",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories,4.3,https://www.flipkart.com/iqoo-z9x-tornado-green-128-gb/p/itm2a2fa488eca76?pid=MOBHF3W6ZNPHEF8Z&lid=LSTMOBHF3W6ZNPHEF8ZX4BGKO&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHF3W6ZNPHEF8Z.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI Note 13 5G (Prism Gold, 128 GB)","₹16,059",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.2,https://www.flipkart.com/redmi-note-13-5g-prism-gold-128-gb/p/itm82475e073eb2e?pid=MOBGXYWXMQEFE9VH&lid=LSTMOBGXYWXMQEFE9VHB0SKAH&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXYWXMQEFE9VH.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"IQOO Z9x (Storm Grey, 128 GB)","₹13,323","4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh BatteryOcta core (2.2 GHz, Quad core, Cortex A78 + 1.8 GHz, Quad core, Cortex A55) Processor1 Year Manufacturer Warranty",4.2,https://www.flipkart.com/iqoo-z9x-storm-grey-128-gb/p/itm37ed9034fd805?pid=MOBHF6ZZY5SMYZTP&lid=LSTMOBHF6ZZY5SMYZTPI3OMZX&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHF6ZZY5SMYZTP.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
